experiment_id,initialization_timestamp,artifact_time_stamp,running_status,start_time,stop_time,execution_time,message,experiment_file_path,accuracy,is_model_accepted,created_time_stamp
c6a57d47-823d-41b3-840a-84eb57bc14d3,2023-01-02-21-16-27,2023-01-02-21-16-27,False,2023-01-02 21:16:27.715117,2023-01-02 21:16:30.620711,0 days 00:00:02.905594,Pipeline has been completed.,experiment.csv,0.7385667803603013,True,2023-01-02 21:16:30.620711
674b21a7-f6bc-4918-9949-337c2706922a,2023-01-02-21-21-41,2023-01-02-21-21-41,True,2023-01-02 21:21:41.909338,,,Pipeline has been started.,experiment.csv,,,2023-01-02 21:21:41.909338
674b21a7-f6bc-4918-9949-337c2706922a,2023-01-02-21-21-41,2023-01-02-21-21-41,False,2023-01-02 21:21:41.909338,2023-01-02 21:21:45.322062,0 days 00:00:03.412724,Pipeline has been completed.,experiment.csv,0.7385667803603013,True,2023-01-02 21:21:45.322062
e1e929b1-b663-4666-89ef-992259c8244f,2023-01-02-21-37-24,2023-01-02-21-37-24,True,2023-01-02 21:37:24.485628,,,Pipeline has been started.,experiment.csv,,,2023-01-02 21:37:24.486627
e1e929b1-b663-4666-89ef-992259c8244f,2023-01-02-21-37-24,2023-01-02-21-37-24,False,2023-01-02 21:37:24.485628,2023-01-02 21:37:27.172228,0 days 00:00:02.686600,Pipeline has been completed.,experiment.csv,0.7385667803603013,True,2023-01-02 21:37:27.172228
1bbd5598-4d42-446c-9698-9240a4d012ed,2023-01-02-21-37-27,2023-01-02-21-37-27,True,2023-01-02 21:37:27.368879,,,Pipeline has been started.,experiment.csv,,,2023-01-02 21:37:27.368879
1bbd5598-4d42-446c-9698-9240a4d012ed,2023-01-02-21-37-27,2023-01-02-21-37-27,False,2023-01-02 21:37:27.368879,2023-01-02 21:37:29.455152,0 days 00:00:02.086273,Pipeline has been completed.,experiment.csv,0.7385667803603013,True,2023-01-02 21:37:29.456148
edd5672a-ab29-46a8-97d3-5f9472129e9f,2023-01-02-21-37-57,2023-01-02-21-37-57,True,2023-01-02 21:37:57.375538,,,Pipeline has been started.,experiment.csv,,,2023-01-02 21:37:57.375538
edd5672a-ab29-46a8-97d3-5f9472129e9f,2023-01-02-21-37-57,2023-01-02-21-37-57,False,2023-01-02 21:37:57.375538,2023-01-02 21:37:59.984501,0 days 00:00:02.608963,Pipeline has been completed.,experiment.csv,0.7385667803603013,True,2023-01-02 21:37:59.985499
2753f6b5-fea3-4270-ad18-b8cb90923ec5,2023-01-02-21-38-00,2023-01-02-21-38-00,True,2023-01-02 21:38:00.258819,,,Pipeline has been started.,experiment.csv,,,2023-01-02 21:38:00.258819
2753f6b5-fea3-4270-ad18-b8cb90923ec5,2023-01-02-21-38-00,2023-01-02-21-38-00,False,2023-01-02 21:38:00.258819,2023-01-02 21:38:02.507899,0 days 00:00:02.249080,Pipeline has been completed.,experiment.csv,0.7385667803603013,True,2023-01-02 21:38:02.507899
